flat_id,destination_id,pt_total,pt_walk,pt_bus,pt_rail,pt_transit,pt_transfers,pt_fare,drive_total,cycle_total,walk_total
"R01","D01","28","13","15","0","15","0","1.59","12","48","72"
"R01","D02","64","20","16","21","37","1","2.24","28","161","226"
"R01","D03","26","4","9","5","15","1","1.68","11","57","68"
"R01","D04","30","8","15","2","18","1","1.21","12","59","72"
"R01","D05","24","11","12","0","12","0","1.38","9","24","47"
"R01","D06","64","19","13","28","41","1","2.3","32","184","243"
"R01","D07","33","5","27","0","27","0","1.82","18","107","118"
"R01","D08","79","21","17","34","51","1","2.26","38","153","297"
"R01","D09","22","5","17","0","17","0","1.49","10","44","51"
"R01","D10","24","14","9","0","9","0","1.28","6","29","40"
"R02","D01","35","11","7","13","20","1","1.9","14","64","104"
"R02","D02","62","24","8","27","36","1","2.27","31","177","250"
"R02","D03","17","11","0","5","5","0","1.38","7","51","40"
"R02","D04","24","18","0","5","5","0","1.38","8","54","45"
"R02","D05","28","20","0","8","8","0","1.49","12","41","74"
"R02","D06","57","19","0","34","34","0","2.24","30","179","215"
"R02","D07","43","13","10","13","23","1","1.94","21","124","142"
"R02","D08","69","11","15","37","52","1","2.3","37","170","290"
"R02","D09","18","8","3","2","6","1","1.28","7","38","39"
"R02","D10","10","10","0","0","0","0","0.0","3","7","10"
"R03","D01","29","9","7","8","15","1","1.75","13","62","72"
"R03","D02","58","21","13","21","34","1","2.2","29","176","216"
"R03","D03","19","9","0","10","10","0","1.68","10","42","63"
"R03","D04","26","15","0","10","10","0","1.68","11","45","70"
"R03","D05","21","17","0","3","3","0","1.28","8","39","40"
"R03","D06","57","16","7","32","39","1","2.33","34","170","239"
"R03","D07","33","14","3","13","17","1","1.86","19","122","107"
"R03","D08","66","12","9","37","47","1","2.28","37","168","289"
"R03","D09","24","9","14","0","14","0","1.49","9","29","43"
"R03","D10","31","27","0","3","3","0","1.28","9","35","45"
"R04","D01","23","6","7","6","14","1","1.68","13","66","55"
"R04","D02","52","17","13","19","32","1","2.11","29","146","197"
"R04","D03","18","5","0","12","12","0","1.75","15","80","82"
"R04","D04","24","12","0","12","12","0","1.75","16","82","88"
"R04","D05","15","13","0","1","1","0","1.28","5","9","21"
"R04","D06","56","12","7","34","41","1","2.36","36","207","254"
"R04","D07","30","7","10","6","16","1","1.75","18","93","89"
"R04","D08","61","8","9","35","45","1","2.42","36","139","274"
"R04","D09","25","5","17","0","17","0","1.49","15","67","57"
"R04","D10","27","16","1","6","7","1","1.49","14","47","63"
"R05","D01","53","6","31","10","42","1","2.11","26","122","167"
"R05","D02","92","29","8","49","57","1","2.38","32","188","293"
"R05","D03","27","5","6","13","19","1","1.82","15","73","93"
"R05","D04","34","7","6","14","20","1","1.86","16","75","99"
"R05","D05","40","10","7","11","19","1","1.86","21","98","133"
"R05","D06","59","15","14","25","39","1","2.11","22","212","177"
"R05","D07","66","5","47","3","51","1","2.2","25","135","193"
"R05","D08","49","11","7","26","33","1","1.88","29","194","203"
"R05","D09","20","7","1","7","9","1","1.59","14","41","71"
"R05","D10","50","24","12","7","20","1","1.82","16","81","108"
"R06","D01","52","16","19","11","30","1","1.98","25","119","153"
"R06","D02","79","18","8","47","55","1","2.38","30","185","279"
"R06","D03","19","6","0","13","13","0","1.68","16","70","85"
"R06","D04","26","11","0","14","14","0","1.75","17","72","91"
"R06","D05","35","14","6","11","17","1","1.82","19","95","120"
"R06","D06","55","16","11","25","36","1","2.07","22","220","186"
"R06","D07","57","10","3","37","41","1","2.15","23","132","180"
"R06","D08","46","10","5","27","33","1","1.89","32","202","214"
"R06","D09","12","6","0","6","6","0","1.38","13","38","57"
"R06","D10","40","29","0","8","8","0","1.59","17","78","99"
"R07","D01","57","8","14","27","41","1","2.24","21","110","154"
"R07","D02","80","23","11","39","51","1","2.42","33","223","281"
"R07","D03","22","11","2","5","8","1","1.38","9","31","55"
"R07","D04","23","10","0","9","10","0","1.21","9","34","61"
"R07","D05","41","22","0","13","13","0","1.86","20","86","120"
"R07","D06","47","16","0","27","28","0","1.98","22","108","157"
"R07","D07","60","14","8","30","38","1","2.24","26","169","182"
"R07","D08","68","17","12","30","43","1","2.08","32","215","241"
"R07","D09","25","13","0","7","7","0","1.49","9","25","51"
"R07","D10","37","27","0","9","9","0","1.59","10","69","71"
"R08","D01","53","8","14","23","37","1","2.15","21","110","158"
"R08","D02","80","20","12","39","52","1","2.42","33","223","285"
"R08","D03","23","15","0","7","7","0","1.49","9","32","56"
"R08","D04","21","11","0","9","9","0","1.59","9","35","62"
"R08","D05","43","21","0","13","13","0","1.86","20","87","124"
"R08","D06","45","17","0","27","27","0","1.98","22","99","153"
"R08","D07","61","12","9","30","39","1","2.24","26","170","186"
"R08","D08","69","23","13","27","41","1","2.02","32","216","241"
"R08","D09","24","13","0","7","7","0","1.49","9","28","55"
"R08","D10","36","26","0","9","9","0","1.59","10","69","75"
"R09","D01","52","7","7","30","38","1","1.98","21","99","136"
"R09","D02","77","19","8","44","53","1","2.33","31","167","262"
"R09","D03","17","6","0","10","10","0","1.59","11","42","65"
"R09","D04","24","8","0","11","11","0","1.68","12","44","72"
"R09","D05","40","17","9","7","16","1","1.75","20","76","102"
"R09","D06","54","13","7","28","35","1","2.15","24","118","182"
"R09","D07","59","10","5","35","41","1","2.11","24","113","162"
"R09","D08","52","11","5","30","35","1","1.97","31","159","226"
"R09","D09","10","7","0","3","3","0","1.28","9","18","35"
"R09","D10","38","29","0","6","6","0","1.38","11","58","77"
"R10","D01","49","13","7","25","33","1","2.11","20","103","154"
"R10","D02","75","25","8","39","48","1","2.4","34","217","287"
"R10","D03","18","12","0","5","5","0","1.28","6","25","43"
"R10","D04","20","13","0","7","7","0","1.38","7","28","48"
"R10","D05","41","21","0","20","20","0","1.86","19","80","120"
"R10","D06","45","20","0","22","22","0","1.94","23","96","157"
"R10","D07","57","16","5","30","36","1","2.2","27","163","184"
"R10","D08","72","18","13","30","44","1","2.1","34","209","254"
"R10","D09","25","13","0","8","8","0","1.49","8","27","47"
"R10","D10","39","23","16","0","16","0","1.38","10","62","64"
"R11","D01","69","13","10","38","49","1","2.4","33","195","262"
"R11","D02","94","30","8","53","61","1","2.49","44","309","393"
"R11","D03","36","18","0","18","18","0","1.9","21","117","147"
"R11","D04","43","24","0","18","18","0","1.9","20","113","146"
"R11","D05","60","26","0","33","33","0","2.2","32","172","228"
"R11","D06","25","11","14","0","14","0","1.38","10","45","54"
"R11","D07","76","20","7","43","51","1","2.43","37","255","293"
